variable,lat,lon,value
aridity_coldest-quarter,-13.5,7.5,0.9451068043708801
aridity_coldest-quarter,-13.5,8.0,0.9442968964576721
aridity_coldest-quarter,-13.5,8.5,0.9450892806053162
aridity_coldest-quarter,-13.5,9.0,0.9505969882011414
aridity_coldest-quarter,-13.5,9.5,0.9469462037086487
aridity_coldest-quarter,-13.5,10.0,0.9508979916572571
aridity_coldest-quarter,-13.5,10.5,0.9553146362304688
aridity_coldest-quarter,-13.5,11.0,0.9468288421630859
aridity_coldest-quarter,-13.5,11.5,0.9482512474060059
aridity_coldest-quarter,-13.5,12.0,0.9695795774459839
aridity_coldest-quarter,-13.5,12.5,0.9924904704093933
aridity_coldest-quarter,-13.5,13.0,0.9966502785682678
aridity_coldest-quarter,-13.5,13.5,0.949411928653717
aridity_coldest-quarter,-13.5,14.0,0.8641439080238342
aridity_coldest-quarter,-13.5,14.5,0.7561203837394714
aridity_coldest-quarter,-13.5,15.0,0.8875282406806946
aridity_coldest-quarter,-13.5,15.5,0.906021237373352
aridity_coldest-quarter,-13.5,16.0,0.9190224409103394
aridity_coldest-quarter,-13.5,16.5,0.9453828930854797
aridity_coldest-quarter,-13.5,17.0,0.9238620400428772
aridity_coldest-quarter,-13.5,17.5,0.977238655090332
aridity_coldest-quarter,-13.5,18.0,0.8360303044319153
aridity_coldest-quarter,-13.5,18.5,0.9827133417129517
aridity_coldest-quarter,-13.5,19.0,0.9850800633430481
aridity_coldest-quarter,-13.5,19.5,0.9882130026817322
aridity_coldest-quarter,-13.5,20.0,0.9883936047554016
aridity_coldest-quarter,-13.5,20.5,0.9917091727256775
aridity_coldest-quarter,-13.5,21.0,0.9929422736167908
aridity_coldest-quarter,-13.5,21.5,0.9918833374977112
aridity_coldest-quarter,-13.5,22.0,0.9913042187690735
aridity_coldest-quarter,-13.5,22.5,0.9949325919151306
aridity_coldest-quarter,-13.5,23.0,0.9808365106582642
aridity_coldest-quarter,-13.5,23.5,0.9796385765075684
aridity_coldest-quarter,-13.5,24.0,0.9783244132995605
aridity_coldest-quarter,-13.5,24.5,0.9759235382080078
aridity_coldest-quarter,-13.5,25.0,0.974615752696991
aridity_coldest-quarter,-13.5,25.5,0.9749879240989685
aridity_coldest-quarter,-13.5,26.0,0.9749055504798889
aridity_coldest-quarter,-13.5,26.5,0.988787829875946
aridity_coldest-quarter,-13.5,27.0,0.9901323318481445
aridity_coldest-quarter,-13.5,27.5,0.991694450378418
aridity_coldest-quarter,-13.5,28.0,0.993520200252533
aridity_coldest-quarter,-13.5,28.5,0.9951047301292419
aridity_coldest-quarter,-13.5,29.0,0.9927160143852234
aridity_coldest-quarter,-13.5,29.5,0.9910721182823181
aridity_coldest-quarter,-13.5,30.0,0.9575409293174744
aridity_coldest-quarter,-13.5,30.5,0.9632377624511719
aridity_coldest-quarter,-13.5,31.0,0.9705625176429749
aridity_coldest-quarter,-13.5,31.5,0.985382080078125
aridity_coldest-quarter,-13.5,32.0,0.993102490901947
aridity_coldest-quarter,-13.5,32.5,0.9948626160621643
aridity_coldest-quarter,-13.5,33.0,0.9909905195236206
aridity_coldest-quarter,-13.5,33.5,0.982119619846344
aridity_coldest-quarter,-13.5,34.0,0.9712920188903809
aridity_coldest-quarter,-13.5,34.5,0.9798784852027893
aridity_coldest-quarter,-13.0,0.5,0.9244451522827148
aridity_coldest-quarter,-13.0,1.0,0.9259353280067444
aridity_coldest-quarter,-13.0,1.5,0.9276756644248962
aridity_coldest-quarter,-13.0,2.0,0.9313465356826782
aridity_coldest-quarter,-13.0,2.5,0.9307981729507446
aridity_coldest-quarter,-13.0,3.0,0.9299492835998535
aridity_coldest-quarter,-13.0,3.5,0.9330672025680542
aridity_coldest-quarter,-13.0,4.0,0.9326448440551758
