year,pc,score,variance_explained_pct
2061,PC1,-1.5785872164997272e-06,99.758
2061,PC2,-2.7942471092501364e-07,0.112
2061,PC3,-4.594301969973458e-07,0.066
2061,PC4,1.6651265468681231e-06,0.027
2062,PC1,-1.5785872164997272e-06,99.758
2062,PC2,-2.7942471092501364e-07,0.112
2062,PC3,-4.594301969973458e-07,0.066
2062,PC4,1.6651265468681231e-06,0.027
2063,PC1,-1.5785872164997272e-06,99.758
2063,PC2,-2.7942471092501364e-07,0.112
2063,PC3,-4.594301969973458e-07,0.066
2063,PC4,1.6651265468681231e-06,0.027
2064,PC1,-1.5785872164997272e-06,99.758
2064,PC2,-2.7942471092501364e-07,0.112
2064,PC3,-4.594301969973458e-07,0.066
2064,PC4,1.6651265468681231e-06,0.027
2065,PC1,-1.5785872164997272e-06,99.758
2065,PC2,-2.7942471092501364e-07,0.112
2065,PC3,-4.594301969973458e-07,0.066
2065,PC4,1.6651265468681231e-06,0.027
2066,PC1,-1.5785872164997272e-06,99.758
2066,PC2,-2.7942471092501364e-07,0.112
2066,PC3,-4.594301969973458e-07,0.066
2066,PC4,1.6651265468681231e-06,0.027
2067,PC1,-1.5785872164997272e-06,99.758
2067,PC2,-2.7942471092501364e-07,0.112
2067,PC3,-4.594301969973458e-07,0.066
2067,PC4,1.6651265468681231e-06,0.027
2068,PC1,-1.5785872164997272e-06,99.758
2068,PC2,-2.7942471092501364e-07,0.112
2068,PC3,-4.594301969973458e-07,0.066
2068,PC4,1.6651265468681231e-06,0.027
2069,PC1,-1.578586875439214e-06,99.758
2069,PC2,-2.794249382986891e-07,0.112
2069,PC3,-4.5943008331050805e-07,0.066
2069,PC4,1.6651267742417986e-06,0.027
2070,PC1,325.7484436035156,99.758
2070,PC2,1.0229334831237793,0.112
2070,PC3,6.678306579589844,0.066
2070,PC4,-0.4071563482284546,0.027
2071,PC1,-1.578586875439214e-06,99.758
2071,PC2,-2.794249382986891e-07,0.112
2071,PC3,-4.5943008331050805e-07,0.066
2071,PC4,1.6651267742417986e-06,0.027
2072,PC1,-1.578586875439214e-06,99.758
2072,PC2,-2.794249382986891e-07,0.112
2072,PC3,-4.5943008331050805e-07,0.066
2072,PC4,1.6651267742417986e-06,0.027
2073,PC1,-1.578586875439214e-06,99.758
2073,PC2,-2.794249382986891e-07,0.112
2073,PC3,-4.5943008331050805e-07,0.066
2073,PC4,1.6651267742417986e-06,0.027
2074,PC1,-1.578586875439214e-06,99.758
2074,PC2,-2.794249382986891e-07,0.112
2074,PC3,-4.5943008331050805e-07,0.066
2074,PC4,1.6651267742417986e-06,0.027
2075,PC1,-1.578586875439214e-06,99.758
2075,PC2,-2.794249382986891e-07,0.112
2075,PC3,-4.5943008331050805e-07,0.066
2075,PC4,1.6651267742417986e-06,0.027
2076,PC1,-1.5785872164997272e-06,99.758
2076,PC2,-2.7942471092501364e-07,0.112
2076,PC3,-4.594301969973458e-07,0.066
