variable,lat,lon,slope
evaporative-fraction_coldest-quarter,-13.5,29.0,-0.0027026012539863586
evaporative-fraction_coldest-quarter,-13.5,29.5,-0.0027229542888346173
evaporative-fraction_coldest-quarter,-13.5,30.0,-0.0027442657876582373
evaporative-fraction_coldest-quarter,-13.5,30.5,-0.002986251864404905
evaporative-fraction_coldest-quarter,-13.5,31.0,-0.0032043863265287307
evaporative-fraction_coldest-quarter,-13.5,31.5,-0.003422520256468228
evaporative-fraction_coldest-quarter,-13.5,32.0,-0.003561034177740415
evaporative-fraction_coldest-quarter,-13.5,32.5,-0.003460645409567015
evaporative-fraction_coldest-quarter,-13.5,33.0,-0.00336025690748578
evaporative-fraction_coldest-quarter,-13.5,33.5,-0.003165972019944872
evaporative-fraction_coldest-quarter,-13.5,34.0,-0.0029658064955756774
evaporative-fraction_coldest-quarter,-13.5,34.5,-0.0030415404055799755
evaporative-fraction_coldest-quarter,-13.0,0.5,0.0003404005297592708
evaporative-fraction_coldest-quarter,-13.0,1.0,0.00034412351392564314
evaporative-fraction_coldest-quarter,-13.0,1.5,0.0003494774656636374
evaporative-fraction_coldest-quarter,-13.0,2.0,0.0003584110665889013
evaporative-fraction_coldest-quarter,-13.0,2.5,0.0003780825507073175
evaporative-fraction_coldest-quarter,-13.0,3.0,0.00039779731915110634
evaporative-fraction_coldest-quarter,-13.0,3.5,0.0004242021767866044
evaporative-fraction_coldest-quarter,-13.0,4.0,0.0004437037167095003
evaporative-fraction_coldest-quarter,-13.0,4.5,0.0004562582998048691
evaporative-fraction_coldest-quarter,-13.0,5.0,0.000474800488778523
evaporative-fraction_coldest-quarter,-13.0,5.5,0.0005113019474915095
evaporative-fraction_coldest-quarter,-13.0,6.0,0.0005225851422264462
evaporative-fraction_coldest-quarter,-13.0,6.5,0.0005263563777719224
evaporative-fraction_coldest-quarter,-13.0,7.0,0.0005328167407285598
evaporative-fraction_coldest-quarter,-13.0,7.5,0.0005392732010001227
evaporative-fraction_coldest-quarter,-13.0,8.0,0.0005448104015418461
evaporative-fraction_coldest-quarter,-13.0,8.5,0.0005456147094567617
evaporative-fraction_coldest-quarter,-13.0,9.0,0.0005416891404560634
evaporative-fraction_coldest-quarter,-13.0,9.5,0.0005375141544001444
evaporative-fraction_coldest-quarter,-13.0,10.0,0.0005325935781002045
evaporative-fraction_coldest-quarter,-13.0,10.5,0.0005275231032144455
evaporative-fraction_coldest-quarter,-13.0,11.0,0.000498853801261811
evaporative-fraction_coldest-quarter,-13.0,11.5,0.0006084050096216656
evaporative-fraction_coldest-quarter,-13.0,12.0,0.0008567270068895248
evaporative-fraction_coldest-quarter,-13.0,12.5,0.0011655416871820179
evaporative-fraction_coldest-quarter,-13.0,13.0,0.0014747408706517445
evaporative-fraction_coldest-quarter,-13.0,13.5,0.0014335209104631627
evaporative-fraction_coldest-quarter,-13.0,14.0,0.0012754743830079122
evaporative-fraction_coldest-quarter,-13.0,14.5,0.0010118305328346434
evaporative-fraction_coldest-quarter,-13.0,15.0,0.0006424486637115479
evaporative-fraction_coldest-quarter,-13.0,15.5,0.00024217686482838217
evaporative-fraction_coldest-quarter,-13.0,16.0,-0.0001803460930074964
evaporative-fraction_coldest-quarter,-13.0,16.5,-0.0006249943482024328
evaporative-fraction_coldest-quarter,-13.0,17.0,-0.0009423630045992987
evaporative-fraction_coldest-quarter,-13.0,17.5,-0.0008778295346668788
evaporative-fraction_coldest-quarter,-13.0,18.0,-0.0008144292625642957
evaporative-fraction_coldest-quarter,-13.0,18.5,-0.0009305094856591451
evaporative-fraction_coldest-quarter,-13.0,19.0,-0.0010585726371833254
evaporative-fraction_coldest-quarter,-13.0,19.5,-0.001199205272964069
evaporative-fraction_coldest-quarter,-13.0,20.0,-0.0016129502937907263
evaporative-fraction_coldest-quarter,-13.0,20.5,-0.002028429525948706
evaporative-fraction_coldest-quarter,-13.0,21.0,-0.002299976579490161
evaporative-fraction_coldest-quarter,-13.0,21.5,-0.002530687710358983
evaporative-fraction_coldest-quarter,-13.0,22.0,-0.0027828520784775415
evaporative-fraction_coldest-quarter,-13.0,22.5,-0.0030318001019103186
evaporative-fraction_coldest-quarter,-13.0,23.0,-0.0025123477514301024
evaporative-fraction_coldest-quarter,-13.0,23.5,-0.001989654309692837
