eof,lat,lon,loading,variance_explained_pct
EOF1,-14.0,31.0,0.013551626354455948,99.758
EOF1,-14.0,31.5,0.013549876399338245,99.758
EOF1,-14.0,32.0,0.01354940701276064,99.758
EOF1,-14.0,32.5,0.013548589311540127,99.758
EOF1,-14.0,33.0,0.013548294082283974,99.758
EOF1,-14.0,33.5,0.013547942973673344,99.758
EOF1,-14.0,34.0,0.013549004681408405,99.758
EOF1,-14.0,34.5,0.013551040552556515,99.758
EOF1,-13.5,0.5,0.013544405810534954,99.758
EOF1,-13.5,1.0,0.013545668683946133,99.758
EOF1,-13.5,1.5,0.01354676391929388,99.758
EOF1,-13.5,2.0,0.013546905480325222,99.758
EOF1,-13.5,2.5,0.013546442613005638,99.758
EOF1,-13.5,3.0,0.013545923866331577,99.758
EOF1,-13.5,3.5,0.013545313850045204,99.758
EOF1,-13.5,4.0,0.01354418508708477,99.758
EOF1,-13.5,4.5,0.01354223769158125,99.758
EOF1,-13.5,5.0,0.013540004380047321,99.758
EOF1,-13.5,5.5,0.013537566177546978,99.758
EOF1,-13.5,6.0,0.013536226004362106,99.758
EOF1,-13.5,6.5,0.013535099104046822,99.758
EOF1,-13.5,7.0,0.01353374682366848,99.758
EOF1,-13.5,7.5,0.01353216078132391,99.758
EOF1,-13.5,8.0,0.01352792140096426,99.758
EOF1,-13.5,8.5,0.013522988185286522,99.758
EOF1,-13.5,9.0,0.013517406769096851,99.758
EOF1,-13.5,9.5,0.013512464240193367,99.758
EOF1,-13.5,10.0,0.013512687757611275,99.758
EOF1,-13.5,10.5,0.013513283804059029,99.758
EOF1,-13.5,11.0,0.013513636775314808,99.758
EOF1,-13.5,11.5,0.013526762835681438,99.758
EOF1,-13.5,12.0,0.013543869368731976,99.758
EOF1,-13.5,12.5,0.013552207499742508,99.758
EOF1,-13.5,13.0,0.013554864563047886,99.758
EOF1,-13.5,13.5,0.013558483682572842,99.758
EOF1,-13.5,14.0,0.013560089282691479,99.758
EOF1,-13.5,14.5,0.01355870719999075,99.758
EOF1,-13.5,15.0,0.013554790057241917,99.758
EOF1,-13.5,15.5,0.013555148616433144,99.758
EOF1,-13.5,16.0,0.013555340468883514,99.758
EOF1,-13.5,16.5,0.013555366545915604,99.758
EOF1,-13.5,17.0,0.01355606596916914,99.758
EOF1,-13.5,17.5,0.013556493446230888,99.758
EOF1,-13.5,18.0,0.013556398451328278,99.758
EOF1,-13.5,18.5,0.013555814512073994,99.758
EOF1,-13.5,19.0,0.013555344194173813,99.758
EOF1,-13.5,19.5,0.013555247336626053,99.758
EOF1,-13.5,20.0,0.013555018231272697,99.758
EOF1,-13.5,20.5,0.01355475839227438,99.758
EOF1,-13.5,21.0,0.013553583063185215,99.758
EOF1,-13.5,21.5,0.013551830314099789,99.758
EOF1,-13.5,22.0,0.013549765571951866,99.758
EOF1,-13.5,22.5,0.013547585345804691,99.758
EOF1,-13.5,23.0,0.013549254275858402,99.758
EOF1,-13.5,23.5,0.013549929484724998,99.758
EOF1,-13.5,24.0,0.01355039793998003,99.758
EOF1,-13.5,24.5,0.013550751842558384,99.758
EOF1,-13.5,25.0,0.01355122309178114,99.758
EOF1,-13.5,25.5,0.013551564887166023,99.758
EOF1,-13.5,26.0,0.013551781885325909,99.758
EOF1,-13.5,26.5,0.01355179212987423,99.758
EOF1,-13.5,27.0,0.013552039861679077,99.758
EOF1,-13.5,27.5,0.013552377931773663,99.758
EOF1,-13.5,28.0,0.01355267595499754,99.758
EOF1,-13.5,28.5,0.013552100397646427,99.758
EOF1,-13.5,29.0,0.013552923686802387,99.758
EOF1,-13.5,29.5,0.01355359610170126,99.758
EOF1,-13.5,30.0,0.013554100878536701,99.758
EOF1,-13.5,30.5,0.013553261756896973,99.758
EOF1,-13.5,31.0,0.013551746495068073,99.758
EOF1,-13.5,31.5,0.013549990020692348,99.758
EOF1,-13.5,32.0,0.013548454269766808,99.758
EOF1,-13.5,32.5,0.013548157177865505,99.758
EOF1,-13.5,33.0,0.013547797687351704,99.758
EOF1,-13.5,33.5,0.013547820970416069,99.758
EOF1,-13.5,34.0,0.013549772091209888,99.758
EOF1,-13.5,34.5,0.013551807962357998,99.758
EOF1,-13.0,0.5,0.01354345865547657,99.758
EOF1,-13.0,1.0,0.013544399291276932,99.758
EOF1,-13.0,1.5,0.01354486495256424,99.758
EOF1,-13.0,2.0,0.0135450828820467,99.758
EOF1,-13.0,2.5,0.013544623740017414,99.758
EOF1,-13.0,3.0,0.013544056564569473,99.758
EOF1,-13.0,3.5,0.013543524779379368,99.758
EOF1,-13.0,4.0,0.013542413711547852,99.758
EOF1,-13.0,4.5,0.013540667481720448,99.758
EOF1,-13.0,5.0,0.013538660481572151,99.758
EOF1,-13.0,5.5,0.013536311686038971,99.758
EOF1,-13.0,6.0,0.01353490725159645,99.758
EOF1,-13.0,6.5,0.013533663004636765,99.758
